timestamp,cell_id,hour,peak_hour,active_users,rsrp_dbm,sinr_db,prb_util_pct,dl_throughput_mbps,latency_ms,packet_loss_pct,handover_success_pct,availability_pct,root_cause,is_anomaly
2026-08-01 00:00:00,ZZ-CELL-016,0,0,77,-96.18,17.43,55.68,147.51,23.83,0.104,97.75,99.831,normal,0
2026-08-01 00:05:00,ZZ-CELL-001,0,0,16,-94.64,16.99,43.56,170.2,20.63,0.072,99.31,99.928,normal,0
2026-08-01 00:10:00,ZZ-CELL-004,0,0,55,-120.05,4.61,30.41,11.68,28.5,0.151,94.92,99.959,weak_coverage,1
2026-08-01 00:15:00,ZZ-CELL-010,0,0,133,-80.91,19.26,86.19,38.96,46.4,0.054,98.57,99.953,congestion,1
2026-08-01 00:20:00,ZZ-CELL-007,0,0,59,-116.95,5.43,53.61,19.32,18.95,0.064,89.79,99.918,weak_coverage,1
2026-08-01 00:25:00,ZZ-CELL-002,0,0,44,-95.54,15.18,53.64,148.54,15.47,0.111,97.52,99.841,normal,0
2026-08-01 00:30:00,ZZ-CELL-012,0,0,37,-118.34,-0.37,38.01,28.78,25.75,0.054,92.95,99.923,weak_coverage,1
2026-08-01 00:35:00,ZZ-CELL-012,0,0,62,-91.82,13.64,33.1,167.01,25.81,0.029,98.28,99.885,normal,0
2026-08-01 00:40:00,ZZ-CELL-023,0,0,94,-97.2,14.8,36.78,161.24,26.04,0.075,99.05,99.957,normal,0
2026-08-01 00:45:00,ZZ-CELL-011,0,0,45,-81.92,7.16,32.72,12.19,176.09,8.133,97.38,98.36,transmission,1
2026-08-01 00:50:00,ZZ-CELL-017,0,0,184,-89.87,18.0,96.69,19.1,64.4,0.107,98.58,99.888,congestion,1
2026-08-01 00:55:00,ZZ-CELL-017,0,0,66,-94.7,22.2,40.11,156.68,18.63,0.073,99.31,99.892,normal,0
2026-08-01 01:00:00,ZZ-CELL-016,1,0,67,-88.16,19.7,40.62,167.59,32.24,0.06,98.29,99.978,normal,0
2026-08-01 01:05:00,ZZ-CELL-008,1,0,85,-98.91,17.13,42.69,188.43,19.49,0.048,97.43,99.848,normal,0
2026-08-01 01:10:00,ZZ-CELL-003,1,0,97,-90.99,22.46,43.57,10.43,134.25,8.01,98.5,98.209,transmission,1
2026-08-01 01:15:00,ZZ-CELL-015,1,0,46,-92.0,14.5,28.33,174.15,20.6,0.053,99.4,99.973,normal,0
2026-08-01 01:20:00,ZZ-CELL-013,1,0,38,-86.12,14.66,35.86,167.07,15.58,0.081,97.78,99.994,normal,0
2026-08-01 01:25:00,ZZ-CELL-014,1,0,74,-117.08,1.16,41.56,8.44,28.08,0.055,90.54,99.985,weak_coverage,1
2026-08-01 01:30:00,ZZ-CELL-003,1,0,62,-89.21,19.13,35.2,161.28,27.2,0.065,97.5,99.84,normal,0
2026-08-01 01:35:00,ZZ-CELL-003,1,0,93,-92.7,-1.35,42.76,29.54,21.02,3.799,98.81,99.887,interference,1
2026-08-01 01:40:00,ZZ-CELL-018,1,0,40,-90.47,22.55,31.74,183.67,29.22,0.093,98.11,99.988,normal,0
2026-08-01 01:45:00,ZZ-CELL-001,1,0,157,-89.62,12.39,90.76,9.52,78.79,0.112,97.26,99.948,congestion,1
2026-08-01 01:50:00,ZZ-CELL-014,1,0,155,-84.45,22.12,94.13,10.18,87.43,0.058,98.58,99.953,congestion,1
2026-08-01 01:55:00,ZZ-CELL-010,1,0,89,-89.13,-6.27,44.09,21.83,25.75,4.263,98.77,99.913,interference,1
2026-08-01 02:00:00,ZZ-CELL-018,2,0,54,-94.32,20.93,30.37,179.92,22.25,0.092,98.97,99.867,normal,0
2026-08-01 02:05:00,ZZ-CELL-022,2,0,104,-80.8,19.42,43.32,178.73,31.89,0.062,99.53,99.982,normal,0
2026-08-01 02:10:00,ZZ-CELL-017,2,0,82,-96.85,0.3,60.92,30.27,21.04,3.345,99.14,100.0,interference,1
2026-08-01 02:15:00,ZZ-CELL-001,2,0,51,-88.06,19.46,48.26,172.51,24.33,0.047,97.93,99.959,normal,0
2026-08-01 02:20:00,ZZ-CELL-021,2,0,71,-88.91,27.02,45.55,152.57,22.83,0.094,99.09,99.805,normal,0
2026-08-01 02:25:00,ZZ-CELL-024,2,0,63,-87.07,11.55,41.3,160.81,16.67,0.061,99.22,99.887,normal,0
2026-08-01 02:30:00,ZZ-CELL-021,2,0,68,-93.75,13.75,54.79,138.87,25.74,0.051,97.96,99.941,normal,0
2026-08-01 02:35:00,ZZ-CELL-018,2,0,170,-91.75,13.57,92.47,17.65,65.58,0.057,100.0,99.94,congestion,1
2026-08-01 02:40:00,ZZ-CELL-009,2,0,63,-118.5,3.36,30.8,31.5,12.72,0.017,93.51,99.964,weak_coverage,1
2026-08-01 02:45:00,ZZ-CELL-018,2,0,86,-87.77,17.03,41.03,156.85,23.4,0.116,98.03,99.945,normal,0
2026-08-01 02:50:00,ZZ-CELL-013,2,0,91,-96.06,13.72,46.96,147.78,26.95,0.084,98.71,99.997,normal,0
2026-08-01 02:55:00,ZZ-CELL-005,2,0,107,-88.06,13.87,40.77,171.25,28.57,0.047,98.34,100.0,normal,0
2026-08-01 03:00:00,ZZ-CELL-006,3,0,197,-97.5,8.82,94.64,18.78,81.39,0.161,98.61,99.945,congestion,1
2026-08-01 03:05:00,ZZ-CELL-015,3,0,85,-93.1,19.72,29.53,175.63,20.17,0.062,96.98,99.862,normal,0
2026-08-01 03:10:00,ZZ-CELL-021,3,0,76,-81.4,17.06,34.78,162.63,19.0,0.08,99.78,99.97,normal,0
2026-08-01 03:15:00,ZZ-CELL-018,3,0,186,-91.3,13.82,93.58,40.17,56.88,0.051,98.18,99.938,congestion,1
2026-08-01 03:20:00,ZZ-CELL-021,3,0,49,-88.15,22.34,36.53,169.97,20.82,0.06,98.56,99.907,normal,0
2026-08-01 03:25:00,ZZ-CELL-022,3,0,91,-96.35,20.52,39.85,184.83,18.79,0.117,98.54,100.0,normal,0
2026-08-01 03:30:00,ZZ-CELL-014,3,0,77,-115.93,0.26,48.3,20.28,21.94,0.048,91.74,99.811,weak_coverage,1
2026-08-01 03:35:00,ZZ-CELL-001,3,0,47,-116.34,4.34,50.8,25.77,27.24,0.061,89.88,99.922,weak_coverage,1
2026-08-01 03:40:00,ZZ-CELL-021,3,0,62,-84.55,15.61,40.76,148.28,26.02,0.058,97.53,99.987,normal,0
2026-08-01 03:45:00,ZZ-CELL-003,3,0,44,-93.26,9.8,34.49,143.21,21.9,0.067,98.07,99.965,normal,0
2026-08-01 03:50:00,ZZ-CELL-002,3,0,160,-92.14,6.6,91.2,33.04,77.4,0.081,97.56,99.883,congestion,1
2026-08-01 03:55:00,ZZ-CELL-024,3,0,68,-86.95,17.27,31.65,171.34,27.52,0.092,98.17,99.932,normal,0
2026-08-01 04:00:00,ZZ-CELL-008,4,0,91,-92.8,11.45,42.07,169.92,28.8,0.067,99.44,99.904,normal,0
2026-08-01 04:05:00,ZZ-CELL-020,4,0,68,-90.76,17.12,34.78,22.42,79.8,5.645,97.47,99.195,transmission,1
2026-08-01 04:10:00,ZZ-CELL-021,4,0,62,-94.42,0.31,47.85,26.48,31.63,3.13,98.37,100.0,interference,1
2026-08-01 04:15:00,ZZ-CELL-009,4,0,100,-89.6,10.42,55.32,133.96,21.3,0.054,97.48,99.963,normal,0
2026-08-01 04:20:00,ZZ-CELL-018,4,0,149,-82.79,19.08,98.87,18.61,68.43,0.098,98.91,99.89,normal,0
2026-08-01 04:25:00,ZZ-CELL-004,4,0,86,-88.75,21.97,61.5,156.49,19.5,0.157,96.96,99.857,normal,0
2026-08-01 04:30:00,ZZ-CELL-020,4,0,92,-96.29,15.49,37.46,162.67,20.07,0.112,97.74,99.868,normal,0
2026-08-01 04:35:00,ZZ-CELL-016,4,0,199,-86.18,16.09,97.12,27.17,63.52,0.054,98.08,99.946,congestion,1
2026-08-01 04:40:00,ZZ-CELL-020,4,0,162,-90.19,22.81,98.04,23.46,69.89,0.103,98.25,99.949,congestion,1
2026-08-01 04:45:00,ZZ-CELL-023,4,0,40,-89.71,11.42,41.85,151.62,27.79,0.052,98.87,99.932,normal,0
2026-08-01 04:50:00,ZZ-CELL-006,4,0,174,-95.9,17.12,94.92,15.9,91.52,0.054,97.67,99.889,congestion,1
2026-08-01 04:55:00,ZZ-CELL-006,4,0,183,-88.43,9.56,94.08,22.29,68.93,0.254,98.4,99.962,weak_coverage,1
2026-08-01 05:00:00,ZZ-CELL-020,5,0,171,-96.57,20.26,94.72,23.96,63.37,0.14,96.75,99.929,congestion,1
2026-08-01 05:05:00,ZZ-CELL-018,5,0,79,-88.38,15.26,38.2,155.04,24.24,0.018,97.76,99.97,congestion,1
2026-08-01 05:10:00,ZZ-CELL-003,5,0,74,-101.18,12.83,19.36,177.03,23.64,0.038,97.89,99.855,normal,0
